Wall time,Step,Value
1649745787.6360064,1183,0.149721160531044
1649745879.3950038,1184,0.17297954857349396
1649745974.6444924,1189,0.12623851001262665
1649746063.9874418,1194,0.1348995715379715
1649746163.161268,1199,0.14413407444953918
1649746259.2256274,1200,0.14008770883083344
1649746358.3465843,1205,0.12953026592731476
1649746453.3206902,1210,0.1404956877231598
1649746542.9284751,1215,0.14055392146110535
1649746921.3584013,1231,0.13636597990989685
1649747011.8891044,1232,0.15237672626972198
1649747204.195814,1242,0.13640297949314117
1649747482.9477305,1253,0.13762469589710236
1649747856.6684523,1269,0.1418999880552292
1649747951.6775162,1274,0.15127426385879517
1649748039.4061456,1279,0.12072552740573883
1649748141.0363371,1280,0.14142301678657532
1649748325.041572,1290,0.13738638162612915
1649748506.4985383,1296,0.14568953216075897
1649748601.5007086,1301,0.14220033586025238
1649748704.4990437,1306,0.1398303210735321
1649748790.0577428,1311,0.13046342134475708
1649749070.4234638,1322,0.14405480027198792
1649749159.872488,1327,0.13841141760349274
1649749352.084844,1333,0.12614800035953522
1649749713.1632874,1349,0.13160035014152527
1649749893.8327906,1359,0.1366671621799469
1649750075.9937499,1365,0.1384737491607666
1649750167.2280831,1370,0.12814615666866302
1649750249.386579,1375,0.14336037635803223
1649750334.3437593,1376,0.1387864202260971
1649750428.0125725,1381,0.1432654857635498
1649750608.7746336,1391,0.12946751713752747
1649750702.0714757,1392,0.11623945087194443
1649750974.7852297,1407,0.1473732739686966
1649751164.866124,1413,0.13770857453346252
1649751252.864978,1418,0.13126984238624573
1649751426.6704884,1424,0.126336008310318
1649751603.181309,1434,0.12464030832052231
1649751698.7033334,1439,0.1409800499677658
1649751792.649228,1440,0.12505845725536346
1649751981.3412275,1450,0.1300399750471115
1649752054.370123,1455,0.1477457582950592
1649752140.113307,1456,0.1616840660572052
1649752232.2692826,1461,0.1394668072462082
1649752415.233541,1471,0.1460048109292984
1649752509.1351194,1472,0.13947218656539917
1649752689.4065309,1482,0.13268591463565826
1649752768.9461522,1487,0.13833627104759216
1649752959.798053,1493,0.15244275331497192
1649753132.557019,1503,0.125682070851326
1649753220.1298392,1504,0.15047168731689453
1649753310.0472364,1509,0.13172607123851776
1649753397.6669245,1514,0.14138558506965637
1649753502.9556677,1519,0.1393696516752243
1649753680.361953,1525,0.1431071013212204
1649753770.8351762,1530,0.13927745819091797
1649754040.3371634,1541,0.13942740857601166
1649754130.9875174,1546,0.1332668513059616
1649754213.396673,1551,0.14528577029705048
1649754301.9706395,1552,0.17975859344005585
1649754476.6440945,1562,0.15163905918598175
1649754563.0269132,1567,0.13278375566005707
1649754653.7846675,1568,0.13861589133739471
1649754751.525046,1573,0.15803249180316925
1649755188.0200012,1594,0.13899797201156616
1649755555.1871886,1610,0.14039751887321472
1649755639.460591,1615,0.1296568661928177
1649755820.1890602,1621,0.13055773079395294
1649755920.6043115,1626,0.12618856132030487
1649756096.3626077,1632,0.09254952520132065
1649756720.5425515,1663,0.1341918706893921
1649756807.648796,1664,0.14021916687488556
1649757086.8346114,1679,0.12364591658115387
1649757182.1070065,1680,0.11969337612390518
1649757271.3098521,1685,0.12666809558868408
1649757359.0028882,1690,0.12233544141054153
1649757536.0758138,1696,0.11809659004211426
1649757726.1580217,1706,0.12920597195625305
1649757905.9444385,1712,0.09563171863555908
1649758086.5568595,1722,0.119077168405056
1649758266.8095174,1728,0.11248856782913208
1649758535.4314933,1743,0.12007007747888565
1649758902.7180636,1759,0.10611944645643234
1649759002.3632088,1760,0.10894997417926788
1649759091.1585515,1765,0.106983982026577
1649759179.436327,1770,0.10589740425348282
1649759358.2830148,1776,0.12323005497455597
1649759454.619235,1781,0.10710738599300385
